date,production,predicted_price,predicted_roi
2022-11-15,999.9280878925757,48.42078237709467,0.6140260792364887
2022-11-16,999.9280878925757,48.42078237709467,0.6140260792364887
2022-11-17,999.9280878925757,48.42078237709467,0.6140260792364887
2022-11-18,999.9280878925757,48.42078237709467,0.6140260792364887
2022-11-19,999.9280878925757,48.42078237709467,0.6140260792364887
2022-11-20,999.9280878925757,48.42078237709467,0.6140260792364887
2022-11-21,999.9280878925757,48.42078237709467,0.6140260792364887
2022-11-22,999.9280878925757,48.42078237709467,0.6140260792364887
2022-11-23,999.9280878925757,48.42078237709467,0.6140260792364887
2022-11-24,999.9280878925757,48.42078237709467,0.6140260792364887
2022-11-25,999.9280878925757,48.42078237709467,0.6140260792364887
2022-11-26,999.9280878925757,48.42078237709467,0.6140260792364887
2022-11-27,999.9280878925757,48.42078237709467,0.6140260792364887
2022-11-28,999.9280878925757,48.42078237709467,0.6140260792364887
2022-11-29,999.9280878925757,48.42078237709467,0.6140260792364887
2022-11-30,999.9280878925757,48.42078237709467,0.6140260792364887
2022-12-01,999.9280878925757,48.42078237709467,0.6140260792364887
2022-12-02,999.9280878925757,48.42078237709467,0.6140260792364887
2022-12-03,999.9280878925757,48.42078237709467,0.6140260792364887
2022-12-04,999.9280878925757,48.42078237709467,0.6140260792364887
2022-12-05,999.9280878925757,48.42078237709467,0.6140260792364887
2022-12-06,999.9280878925757,48.42078237709467,0.6140260792364887
2022-12-07,999.9280878925757,48.42078237709467,0.6140260792364887
2022-12-08,999.9280878925757,48.42078237709467,0.6140260792364887
2022-12-09,999.9280878925757,48.42078237709467,0.6140260792364887
2022-12-10,999.9280878925757,48.42078237709467,0.6140260792364887
2022-12-11,999.9280878925757,48.42078237709467,0.6140260792364887
2022-12-12,999.9280878925757,48.42078237709467,0.6140260792364887
2022-12-13,999.9280878925757,48.42078237709467,0.6140260792364887
2022-12-14,999.9280878925757,48.42078237709467,0.6140260792364887
